"","A","B","C","D","E"
"B1_1",0.0166666666666667,0.05,0.127777777777778,0.0277777777777778,0
"B1_10",0,0.0611111111111111,0.127777777777778,0,0
"B1_2",0,0.0111111111111111,0.0111111111111111,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,0.00555555555555556,0,0
"B1_5",0,0.0222222222222222,0.05,0.00555555555555556,0
"B1_6",0,0.0888888888888889,0.116666666666667,0.0444444444444444,0.0111111111111111
"B1_7",0,0.0166666666666667,0.172222222222222,0.0888888888888889,0
"B1_8",0,0.00555555555555556,0,0,0
"B1_9",0,0.1,0.166666666666667,0.0222222222222222,0
"B2_1",0,0,0,0,0
"B2_10",0,0.0444444444444444,0.122222222222222,0,0
"B2_2",0,0.155555555555556,0.261111111111111,0.0222222222222222,0
"B2_4",0,0.133333333333333,0.122222222222222,0,0
"B2_5",0,0.0666666666666667,0.138888888888889,0.0222222222222222,0
"B2_6",0,0.0111111111111111,0.00555555555555556,0,0
"B2_7",0,0.05,0.0888888888888889,0.0111111111111111,0
"B2_8",0,0.00555555555555556,0.00555555555555556,0,0
"B2_9",0,0.1,0.183333333333333,0.0166666666666667,0
"B3_1",0,0.0555555555555556,0.111111111111111,0.00555555555555556,0
"B3_10",0,0.0555555555555556,0.0944444444444444,0.00555555555555556,0
"B3_2",0,0.0722222222222222,0.122222222222222,0,0
"B3_3",0,0,0,0,0
"B3_4",0,0.0111111111111111,0,0,0
"B3_5",0,0,0,0,0
"B3_6",0,0.0722222222222222,0.238888888888889,0.0555555555555556,0
"B3_7",0,0.144444444444444,0.133333333333333,0.0222222222222222,0
"B3_8",0,0.0222222222222222,0.0111111111111111,0,0
"B3_9",0,0,0,0,0
"B4_1",0,0.0333333333333333,0.111111111111111,0,0
"B4_10",0,0.0555555555555556,0.177777777777778,0,0
"B4_2",0,0.0277777777777778,0.0277777777777778,0,0
"B4_3",0,0.0444444444444444,0.116666666666667,0.0444444444444444,0
"B4_4",0,0.05,0.105555555555556,0.00555555555555556,0
"B4_6",0,0.0388888888888889,0.0666666666666667,0.0166666666666667,0
"B4_7",0,0.00555555555555556,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,0.0166666666666667,0.0388888888888889,0,0
"IL1_1",0,0.0277777777777778,0.0722222222222222,0.0277777777777778,0
"IL1_10",0,0.0166666666666667,0.0111111111111111,0.00555555555555556,0
"IL1_3",0,0,0,0,0
"IL1_4",0,0.0722222222222222,0.1,0.00555555555555556,0.00555555555555556
"IL1_5",0,0.0333333333333333,0.0444444444444444,0,0
"IL1_8",0,0.00555555555555556,0.0388888888888889,0.0111111111111111,0
"IL1_9",0,0.0111111111111111,0.0166666666666667,0.00555555555555556,0
"IL2_1",0,0.0222222222222222,0.0722222222222222,0,0
"IL2_10",0,0.105555555555556,0.216666666666667,0.0111111111111111,0
"IL2_2",0,0,0,0,0
"IL2_3",0.0166666666666667,0.0777777777777778,0.0722222222222222,0.0111111111111111,0
"IL2_4",0,0.0277777777777778,0.0277777777777778,0,0
"IL2_5",0,0,0,0,0
"IL2_7",0,0.0222222222222222,0.122222222222222,0.0222222222222222,0
"IL2_8",0,0.0166666666666667,0.0333333333333333,0,0
"IL2_9",0.0222222222222222,0.127777777777778,0.05,0.00555555555555556,0
"IL3_1",0,0.105555555555556,0.0666666666666667,0,0
"IL3_10",0,0.0166666666666667,0.0666666666666667,0.0166666666666667,0
"IL3_2",0,0.0222222222222222,0.0555555555555556,0.0111111111111111,0
"IL3_3",0,0.0444444444444444,0.188888888888889,0.0111111111111111,0
"IL3_4",0,0.0555555555555556,0.0944444444444444,0.00555555555555556,0
"IL3_6",0.00555555555555556,0.0555555555555556,0.0611111111111111,0,0
"IL3_7",0,0.05,0.0722222222222222,0,0
"IL3_9",0,0.0444444444444444,0.122222222222222,0.00555555555555556,0
